date,ppi_yoy,q10,q90,signal
2009-05-31,-7.2,-3.35,8.22,低通胀(多头候选)
2009-05-31,-7.2,-3.35,8.22,低通胀(多头候选)
2009-06-30,-7.8,-4.357999999999999,8.21,低通胀(多头候选)
2009-06-30,-7.8,-4.357999999999999,8.21,低通胀(多头候选)
2009-07-31,-8.22,-5.686,8.200000000000001,低通胀(多头候选)
2009-07-31,-8.22,-5.686,8.200000000000001,低通胀(多头候选)
2009-08-31,-7.86,-6.417,8.190000000000001,低通胀(多头候选)
2009-08-31,-7.86,-6.417,8.190000000000001,低通胀(多头候选)
2009-09-30,-6.99,-6.834,8.18,低通胀(多头候选)
2009-09-30,-6.99,-6.834,8.18,低通胀(多头候选)
2009-10-31,-5.85,-6.795,8.17,正常
2009-10-31,-5.85,-6.795,8.17,正常
2009-11-30,-2.08,-6.755999999999999,8.16,正常
2009-11-30,-2.08,-6.755999999999999,8.16,正常
2009-12-31,1.7,-6.717,8.15,正常
2009-12-31,1.7,-6.717,8.15,正常
2010-01-31,4.32,-6.677999999999999,8.14,正常
2010-01-31,4.32,-6.677999999999999,8.14,正常
2010-02-28,5.39,-6.638999999999999,8.129999999999999,正常
2010-02-28,5.39,-6.638999999999999,8.129999999999999,正常
2010-03-31,5.91,-6.6,8.12,正常
2010-03-31,5.91,-6.6,8.12,正常
2010-04-30,6.81,-6.539,8.103,正常
2010-04-30,6.81,-6.539,8.103,正常
2010-05-31,7.13,-6.478,8.086,正常
2010-05-31,7.13,-6.478,8.086,正常
2010-06-30,6.41,-6.417,8.069,正常
2010-06-30,6.41,-6.417,8.069,正常
2010-07-31,4.84,-6.356,8.052,正常
2010-07-31,4.84,-6.356,8.052,正常
2010-08-31,4.32,-6.295,8.035,正常
2010-08-31,4.32,-6.295,8.035,正常
2010-09-30,4.33,-6.234,8.017999999999999,正常
2010-09-30,4.33,-6.234,8.017999999999999,正常
2010-10-31,5.04,-6.173,8.001000000000001,正常
2010-10-31,5.04,-6.173,8.001000000000001,正常
2010-11-30,6.06,-6.112,7.984000000000001,正常
2010-11-30,6.06,-6.112,7.984000000000001,正常
2010-12-31,5.93,-6.051,7.9670000000000005,正常
2010-12-31,5.93,-6.051,7.967,正常
2011-01-31,6.6436,-5.99,7.95,正常
2011-01-31,6.6436,-5.99,7.95,正常
2011-02-28,7.2322,-5.976,7.878219999999999,正常
2011-02-28,7.2322,-5.976,7.878219999999999,正常
2011-03-31,7.3081,-5.962,7.821620000000003,正常
2011-03-31,7.3081,-5.962,7.821620000000003,正常
2011-04-30,6.821,-5.9479999999999995,7.757430000000002,正常
2011-04-30,6.821,-5.948,7.757430000000002,正常
2011-05-31,6.7851,-5.934,7.693240000000001,正常
2011-05-31,6.7851,-5.934,7.693240000000001,正常
2011-06-30,7.1209,-5.92,7.629049999999999,正常
2011-06-30,7.1209,-5.92,7.629049999999999,正常
2011-07-31,7.5417,-5.906,7.705019999999999,正常
2011-07-31,7.5417,-5.906,7.705019999999999,正常
2011-08-31,7.2528,-5.892,7.664190000000001,正常
2011-08-31,7.2528,-5.8919999999999995,7.664190000000001,正常
2011-09-30,6.5227,-5.877999999999999,7.623360000000001,正常
2011-09-30,6.5227,-5.877999999999999,7.623360000000001,正常
2011-10-31,5.0038,-5.864,7.58253,正常
2011-10-31,5.0038,-5.864,7.58253,正常
2011-11-30,2.7179,-5.85,7.5417,正常
2011-11-30,2.7179,-5.85,7.5417,正常
2011-12-31,1.6854,-5.711999999999999,7.518339999999999,正常
2011-12-31,1.6854,-5.711999999999999,7.518339999999999,正常
2012-01-31,0.7347,-5.574,7.494979999999999,正常
2012-01-31,0.7347,-5.574,7.494979999999999,正常
2012-02-29,0.0284,-5.435999999999999,7.471620000000001,正常
2012-02-29,0.0284,-5.435999999999999,7.471620000000001,正常
2012-03-31,-0.3171,-5.297999999999999,7.448260000000001,正常
2012-03-31,-0.3171,-5.297999999999999,7.448260000000001,正常
2012-04-30,-0.6984,-5.16,7.424899999999999,正常
2012-04-30,-0.6984,-5.16,7.424899999999999,正常
2012-05-31,-1.3981,-5.021999999999999,7.401540000000001,正常
2012-05-31,-1.3981,-5.021999999999999,7.401540000000001,正常
2012-06-30,-2.0843,-4.8839999999999995,7.378179999999999,正常
2012-06-30,-2.0843,-4.884,7.378179999999999,正常
2012-07-31,-2.8651,-4.745999999999999,7.35482,正常
2012-07-31,-2.8651,-4.745999999999999,7.35482,正常
2012-08-31,-3.4784,-4.607999999999999,7.331460000000002,正常
2012-08-31,-3.4784,-4.607999999999999,7.331460000000002,正常
2012-09-30,-3.5545,-4.47,7.3081,正常
2012-09-30,-3.5545,-4.47,7.3081,正常
2012-10-31,-2.7558,-4.37845,7.30257,正常
2012-10-31,-2.7558,-4.37845,7.30257,正常
2012-11-30,-2.1995,-4.286899999999999,7.297039999999999,正常
2012-11-30,-2.1995,-4.286899999999999,7.297039999999999,正常
2012-12-31,-1.9397,-4.1953499999999995,7.29151,正常
2012-12-31,-1.9397,-4.19535,7.29151,正常
2013-01-31,-1.6372,-4.1038,7.28598,正常
2013-01-31,-1.6372,-4.1038,7.28598,正常
2013-02-28,-1.6254,-4.01225,7.28045,正常
2013-02-28,-1.6254,-4.01225,7.28045,正常
2013-03-31,-1.919,-3.9207,7.27492,正常
2013-03-31,-1.919,-3.9207,7.27492,正常
2013-04-30,-2.6175,-3.829149999999999,7.26939,正常
2013-04-30,-2.6175,-3.829149999999999,7.26939,正常
2013-05-31,-2.8658,-3.737599999999999,7.26386,正常
2013-05-31,-2.8658,-3.737599999999999,7.26386,正常
2013-06-30,-2.6965,-3.64605,7.25833,正常
2013-06-30,-2.6965,-3.64605,7.25833,正常
2013-07-31,-2.2712,-3.5545,7.2528,正常
2013-07-31,-2.2712,-3.5545,7.2528,正常
2013-08-31,-1.625,-3.54689,7.2507399999999995,正常
2013-08-31,-1.625,-3.54689,7.250739999999999,正常
2013-09-30,-1.3439,-3.53928,7.248679999999999,正常
2013-09-30,-1.3439,-3.5392799999999998,7.248679999999999,正常
2013-10-31,-1.5071,-3.53167,7.24662,正常
2013-10-31,-1.5071,-3.53167,7.24662,正常
2013-11-30,-1.4242,-3.52406,7.24456,正常
2013-11-30,-1.4242,-3.52406,7.24456,正常
2013-12-31,-1.3557,-3.51645,7.2425,正常
2013-12-31,-1.3557,-3.51645,7.2425,正常
2014-01-31,-1.6394,-3.50884,7.2404399999999995,正常
2014-01-31,-1.6394,-3.50884,7.240439999999999,正常
2014-02-28,-2.0182,-3.50123,7.238379999999999,正常
2014-02-28,-2.0182,-3.50123,7.238379999999999,正常
2014-03-31,-2.3022,-3.49362,7.23632,正常
2014-03-31,-2.3022,-3.49362,7.23632,正常
2014-04-30,-2.0042,-3.4860100000000003,7.23426,正常
2014-04-30,-2.0042,-3.4860100000000003,7.23426,正常
2014-05-31,-1.4464,-3.4784,7.2322,正常
2014-05-31,-1.4464,-3.4784,7.2322,正常
2014-06-30,-1.1086,-3.46556,7.22198,正常
2014-06-30,-1.1086,-3.46556,7.22198,正常
2014-07-31,-0.8688,-3.45272,7.211759999999999,正常
2014-07-31,-0.8688,-3.45272,7.211759999999999,正常
2014-08-31,-1.2038,-3.43988,7.2015400000000005,正常
2014-08-31,-1.2038,-3.43988,7.2015400000000005,正常
2014-09-30,-1.7996,-3.42704,7.191320000000001,正常
2014-09-30,-1.7996,-3.42704,7.191320000000001,正常
2014-10-31,-2.2428,-3.4142,7.1811,正常
2014-10-31,-2.2428,-3.4142,7.1811,正常
2014-11-30,-2.6928,-3.40136,7.17088,正常
2014-11-30,-2.6928,-3.40136,7.17088,正常
2014-12-31,-3.3152,-3.38852,7.160659999999999,正常
2014-12-31,-3.3152,-3.3885199999999998,7.160659999999999,正常
2015-01-31,-4.3202,-3.49362,7.150440000000001,低通胀(多头候选)
2015-01-31,-4.3202,-3.49362,7.150440000000001,低通胀(多头候选)
2015-02-28,-4.7976,-3.63107,7.140220000000001,低通胀(多头候选)
2015-02-28,-4.7976,-3.63107,7.140220000000001,低通胀(多头候选)
2015-03-31,-4.5603,-4.3202,7.13,低通胀(多头候选)
2015-03-31,-4.5603,-4.3202,7.13,低通胀(多头候选)
2015-04-30,-4.5725,-4.455019999999999,7.12909,低通胀(多头候选)
2015-04-30,-4.5725,-4.455019999999999,7.12909,低通胀(多头候选)
2015-05-31,-4.607,-4.54224,7.1281799999999995,低通胀(多头候选)
2015-05-31,-4.607,-4.54224,7.12818,低通胀(多头候选)
2015-06-30,-4.8135,-4.56884,7.12727,低通胀(多头候选)
2015-06-30,-4.8135,-4.56884,7.12727,低通胀(多头候选)
2015-07-31,-5.3692,-4.5932,7.12636,低通胀(多头候选)
2015-07-31,-5.3692,-4.5932,7.12636,低通胀(多头候选)
2015-08-31,-5.9227,-4.7023,7.12545,低通胀(多头候选)
2015-08-31,-5.9227,-4.7023,7.12545,低通胀(多头候选)
2015-09-30,-5.945,-4.80396,7.12454,低通胀(多头候选)
2015-09-30,-5.945,-4.80396,7.12454,低通胀(多头候选)
2015-10-31,-5.9,-4.98021,7.1236299999999995,低通胀(多头候选)
2015-10-31,-5.9,-4.98021,7.12363,低通胀(多头候选)
2015-11-30,-5.9,-5.4653599999999996,7.12272,低通胀(多头候选)
2015-11-30,-5.9,-5.46536,7.12272,低通胀(多头候选)
2015-12-31,-5.9,-5.8549999999999995,7.12181,低通胀(多头候选)
2015-12-31,-5.9,-5.855,7.12181,低通胀(多头候选)
2016-01-31,-5.3,-5.85,7.1209,正常
2016-01-31,-5.3,-5.85,7.1209,正常
2016-02-29,-4.9,-5.801919999999999,7.090910000000002,正常
2016-02-29,-4.9,-5.801919999999999,7.090910000000002,正常
2016-03-31,-4.3,-5.753839999999999,7.060919999999999,正常
2016-03-31,-4.3,-5.753839999999999,7.0609199999999985,正常
2016-04-30,-3.4,-5.70576,7.030930000000001,正常
2016-04-30,-3.4,-5.70576,7.030930000000001,正常
2016-05-31,-2.8,-5.65768,7.000940000000003,正常
2016-05-31,-2.8,-5.65768,7.000940000000003,正常
2016-06-30,-2.6,-5.6096,6.97095,正常
2016-06-30,-2.6,-5.6096,6.97095,正常
2016-07-31,-1.7,-5.561519999999999,6.940960000000001,正常
2016-07-31,-1.7,-5.561519999999999,6.940960000000001,正常
2016-08-31,-0.8,-5.513439999999999,6.910969999999999,正常
2016-08-31,-0.8,-5.513439999999999,6.910969999999999,正常
2016-09-30,0.1,-5.46536,6.880980000000001,正常
2016-09-30,0.1,-5.4653599999999996,6.880980000000001,正常
2016-10-31,1.2,-5.41728,6.850990000000002,正常
2016-10-31,1.2,-5.41728,6.850990000000002,正常
2016-11-30,3.3,-5.3692,6.821,正常
2016-11-30,3.3,-5.3692,6.821,正常
2016-12-31,5.5,-5.36228,6.8199,正常
2016-12-31,5.5,-5.36228,6.8199,正常
2017-01-31,6.9,-5.35536,6.8842,高通胀(空头候选)
2017-01-31,6.9,-5.35536,6.8842,高通胀(空头候选)
2017-02-28,7.8,-5.34844,7.05463,高通胀(空头候选)
2017-02-28,7.8,-5.34844,7.05463,高通胀(空头候选)
2017-03-31,7.6,-5.34152,7.12636,高通胀(空头候选)
2017-03-31,7.6,-5.34152,7.12636,高通胀(空头候选)
2017-04-30,6.4,-5.3346,7.12545,正常
2017-04-30,6.4,-5.3346,7.12545,正常
2017-05-31,5.5,-5.32768,7.12454,正常
2017-05-31,5.5,-5.32768,7.12454,正常
2017-06-30,5.5,-5.32076,7.1236299999999995,正常
2017-06-30,5.5,-5.32076,7.12363,正常
2017-07-31,5.5,-5.31384,7.12272,正常
2017-07-31,5.5,-5.31384,7.12272,正常
2017-08-31,6.3,-5.30692,7.12181,正常
2017-08-31,6.3,-5.30692,7.12181,正常
2017-09-30,6.9,-5.3,7.1209,正常
2017-09-30,6.9,-5.3,7.1209,正常
2017-10-31,6.9,-5.259999999999999,7.098810000000001,正常
2017-10-31,6.9,-5.259999999999999,7.098810000000001,正常
2017-11-30,5.8,-5.22,7.076719999999999,正常
2017-11-30,5.8,-5.22,7.076719999999999,正常
2017-12-31,4.9,-5.18,7.054630000000004,正常
2017-12-31,4.9,-5.18,7.054630000000004,正常
2018-01-31,4.3,-5.14,7.032539999999999,正常
2018-01-31,4.3,-5.14,7.032539999999999,正常
2018-02-28,3.7,-5.1,7.0104500000000005,正常
2018-02-28,3.7,-5.1,7.0104500000000005,正常
2018-03-31,3.1,-5.06,6.988360000000001,正常
2018-03-31,3.1,-5.06,6.988360000000001,正常
2018-04-30,3.4,-5.02,6.966270000000002,正常
2018-04-30,3.4,-5.02,6.966270000000002,正常
2018-05-31,4.1,-4.98,6.944180000000004,正常
2018-05-31,4.1,-4.98,6.944180000000004,正常
2018-06-30,4.7,-4.94,6.922089999999999,正常
2018-06-30,4.7,-4.94,6.922089999999999,正常
2018-07-31,4.6,-4.9,6.9,正常
2018-07-31,4.6,-4.9,6.9,正常
2018-08-31,4.1,-4.89135,6.9,正常
2018-08-31,4.1,-4.89135,6.9,正常
2018-09-30,3.6,-4.8827,6.9,正常
2018-09-30,3.6,-4.8827,6.9,正常
2018-10-31,3.3,-4.87405,6.9,正常
2018-10-31,3.3,-4.87405,6.9,正常
2018-11-30,2.7,-4.8654,6.9,正常
2018-11-30,2.7,-4.8654,6.9,正常
2018-12-31,0.9,-4.85675,6.9,正常
2018-12-31,0.9,-4.85675,6.9,正常
2019-01-31,0.1,-4.8481000000000005,6.9,正常
2019-01-31,0.1,-4.8481000000000005,6.9,正常
2019-02-28,0.1,-4.83945,6.9,正常
2019-02-28,0.1,-4.83945,6.9,正常
2019-03-31,0.4,-4.8308,6.9,正常
2019-03-31,0.4,-4.8308,6.9,正常
2019-04-30,0.9,-4.822150000000001,6.9,正常
2019-04-30,0.9,-4.822150000000001,6.9,正常
2019-05-31,0.6,-4.8135,6.9,正常
2019-05-31,0.6,-4.8135,6.9,正常
2019-06-30,0.0,-4.81191,6.9,正常
2019-06-30,0.0,-4.81191,6.9,正常
2019-07-31,-0.3,-4.81032,6.9,正常
2019-07-31,-0.3,-4.81032,6.9,正常
2019-08-31,-0.8,-4.808730000000001,6.9,正常
2019-08-31,-0.8,-4.808730000000001,6.9,正常
2019-09-30,-1.2,-4.80714,6.9,正常
2019-09-30,-1.2,-4.80714,6.9,正常
2019-10-31,-1.6,-4.80555,6.9,正常
2019-10-31,-1.6,-4.80555,6.9,正常
2019-11-30,-1.4,-4.80396,6.9,正常
2019-11-30,-1.4,-4.80396,6.9,正常
2019-12-31,-0.5,-4.80237,6.9,正常
2019-12-31,-0.5,-4.80237,6.9,正常
2020-01-31,0.1,-4.8007800000000005,6.9,正常
2020-01-31,0.1,-4.8007800000000005,6.9,正常
2020-02-29,-0.4,-4.79919,6.9,正常
2020-02-29,-0.4,-4.79919,6.9,正常
2020-03-31,-1.5,-4.7976,6.9,正常
2020-03-31,-1.5,-4.7976,6.9,正常
2020-04-30,-3.1,-4.77854,6.892100000000001,正常
2020-04-30,-3.1,-4.77854,6.892100000000001,正常
2020-05-31,-3.7,-4.75948,6.884200000000001,正常
2020-05-31,-3.7,-4.75948,6.884200000000001,正常
2020-06-30,-3.0,-4.74042,6.876300000000001,正常
2020-06-30,-3.0,-4.74042,6.876300000000001,正常
2020-07-31,-2.4,-4.72136,6.868399999999999,正常
2020-07-31,-2.4,-4.72136,6.868399999999999,正常
2020-08-31,-2.0,-4.7023,6.8605,正常
2020-08-31,-2.0,-4.7023,6.8605,正常
2020-09-30,-2.1,-4.68324,6.852600000000001,正常
2020-09-30,-2.1,-4.68324,6.852600000000001,正常
2020-10-31,-2.1,-4.66418,6.8447000000000005,正常
2020-10-31,-2.1,-4.66418,6.8447000000000005,正常
2020-11-30,-1.5,-4.64512,6.836800000000001,正常
2020-11-30,-1.5,-4.64512,6.836800000000001,正常
2020-12-31,-0.4,-4.62606,6.828899999999999,正常
2020-12-31,-0.4,-4.62606,6.828899999999999,正常
2021-01-31,0.3,-4.607,6.821,正常
2021-01-31,0.3,-4.607,6.821,正常
2021-02-28,1.7,-4.60355,6.8199,正常
2021-02-28,1.7,-4.60355,6.8199,正常
2021-03-31,4.4,-4.6001,6.8187999999999995,正常
2021-03-31,4.4,-4.6001,6.8188,正常
2021-04-30,6.8,-4.59665,6.8177,正常
2021-04-30,6.8,-4.59665,6.8177,正常
2021-05-31,9.0,-4.5932,6.868399999999999,高通胀(空头候选)
2021-05-31,9.0,-4.5932,6.868399999999999,高通胀(空头候选)
2021-06-30,8.8,-4.58975,6.9,高通胀(空头候选)
2021-06-30,8.8,-4.58975,6.9,高通胀(空头候选)
2021-07-31,9.0,-4.5863,6.9,高通胀(空头候选)
2021-07-31,9.0,-4.5863,6.9,高通胀(空头候选)
2021-08-31,9.5,-4.58285,6.966270000000002,高通胀(空头候选)
2021-08-31,9.5,-4.58285,6.966270000000002,高通胀(空头候选)
2021-09-30,10.7,-4.5794,7.12272,高通胀(空头候选)
2021-09-30,10.7,-4.5794,7.12272,高通胀(空头候选)
2021-10-31,13.5,-4.57595,7.140219999999999,高通胀(空头候选)
2021-10-31,13.5,-4.57595,7.140219999999999,高通胀(空头候选)
2021-11-30,12.9,-4.5725,7.2322,高通胀(空头候选)
2021-11-30,12.9,-4.5725,7.2322,高通胀(空头候选)
2021-12-31,10.3,-4.57128,7.2507399999999995,高通胀(空头候选)
2021-12-31,10.3,-4.57128,7.250739999999999,高通胀(空头候选)
2022-01-31,9.1,-4.57006,7.29704,高通胀(空头候选)
2022-01-31,9.1,-4.57006,7.29704,高通胀(空头候选)
2022-02-28,8.8,-4.56884,7.471620000000003,高通胀(空头候选)
2022-02-28,8.8,-4.56884,7.471620000000003,高通胀(空头候选)
2022-03-31,8.3,-4.56762,7.57668,高通胀(空头候选)
2022-03-31,8.3,-4.56762,7.57668,高通胀(空头候选)
2022-04-30,8.0,-4.5664,7.699999999999999,高通胀(空头候选)
2022-04-30,8.0,-4.5664,7.699999999999999,高通胀(空头候选)
2022-05-31,6.4,-4.56518,7.680000000000001,正常
2022-05-31,6.4,-4.56518,7.680000000000001,正常
2022-06-30,6.1,-4.56396,7.660000000000002,正常
2022-06-30,6.1,-4.56396,7.660000000000002,正常
2022-07-31,4.2,-4.56274,7.640000000000003,正常
2022-07-31,4.2,-4.56274,7.640000000000003,正常
2022-08-31,2.3,-4.56152,7.619999999999998,正常
2022-08-31,2.3,-4.56152,7.619999999999998,正常
2022-09-30,0.9,-4.5603,7.6,正常
2022-09-30,0.9,-4.5603,7.6,正常
2022-10-31,-1.3,-4.55127,7.59417,正常
2022-10-31,-1.3,-4.55127,7.59417,正常
2022-11-30,-1.3,-4.54224,7.58834,正常
2022-11-30,-1.3,-4.54224,7.5883400000000005,正常
2022-12-31,-0.7,-4.5332099999999995,7.582510000000001,正常
2022-12-31,-0.7,-4.53321,7.582510000000001,正常
2023-01-31,-0.8,-4.524179999999999,7.57668,正常
2023-01-31,-0.8,-4.524179999999999,7.57668,正常
2023-02-28,-1.4,-4.51515,7.57085,正常
2023-02-28,-1.4,-4.51515,7.57085,正常
2023-03-31,-2.5,-4.506119999999999,7.56502,正常
2023-03-31,-2.5,-4.506119999999999,7.56502,正常
2023-04-30,-3.6,-4.497089999999999,7.55919,正常
2023-04-30,-3.6,-4.497089999999999,7.55919,正常
2023-05-31,-4.6,-4.56274,7.5533600000000005,低通胀(多头候选)
2023-05-31,-4.6,-4.56274,7.55336,低通胀(多头候选)
2023-06-30,-5.4,-4.57525,7.547529999999999,低通胀(多头候选)
2023-06-30,-5.4,-4.57525,7.547529999999999,低通胀(多头候选)
2023-07-31,-4.4,-4.5725,7.5417,正常
2023-07-31,-4.4,-4.5725,7.5417,正常
2023-08-31,-3.0,-4.57128,7.518340000000001,正常
2023-08-31,-3.0,-4.57128,7.518340000000001,正常
2023-09-30,-2.5,-4.57006,7.494980000000003,正常
2023-09-30,-2.5,-4.57006,7.494980000000003,正常
2023-10-31,-2.6,-4.56884,7.471620000000003,正常
2023-10-31,-2.6,-4.56884,7.471620000000003,正常
2023-11-30,-3.0,-4.56762,7.4482599999999985,正常
2023-11-30,-3.0,-4.56762,7.4482599999999985,正常
2023-12-31,-2.7,-4.5664,7.424899999999999,正常
2023-12-31,-2.7,-4.5664,7.424899999999999,正常
2024-01-31,-2.5,-4.56518,7.401540000000001,正常
2024-01-31,-2.5,-4.56518,7.401540000000001,正常
2024-02-29,-2.7,-4.56396,7.378180000000002,正常
2024-02-29,-2.7,-4.56396,7.378180000000002,正常
2024-03-31,-2.8,-4.56274,7.354820000000004,正常
2024-03-31,-2.8,-4.56274,7.354820000000004,正常
2024-04-30,-2.5,-4.56152,7.331459999999998,正常
2024-04-30,-2.5,-4.56152,7.331459999999998,正常
2024-05-31,-1.4,-4.5603,7.3081,正常
2024-05-31,-1.4,-4.5603,7.3081,正常
2024-06-30,-0.8,-4.55127,7.30257,正常
2024-06-30,-0.8,-4.55127,7.30257,正常
2024-07-31,-0.8,-4.54224,7.29704,正常
2024-07-31,-0.8,-4.54224,7.29704,正常
2024-08-31,-1.8,-4.53321,7.291510000000001,正常
2024-08-31,-1.8,-4.5332099999999995,7.291510000000001,正常
2024-09-30,-2.8,-4.524179999999999,7.2859799999999995,正常
2024-09-30,-2.8,-4.524179999999999,7.285979999999999,正常
2024-10-31,-2.9,-4.51515,7.28045,正常
2024-10-31,-2.9,-4.51515,7.28045,正常
2024-11-30,-2.5,-4.506119999999999,7.27492,正常
2024-11-30,-2.5,-4.506119999999999,7.27492,正常
2024-12-31,-2.3,-4.497089999999999,7.2693900000000005,正常
2024-12-31,-2.3,-4.497089999999999,7.26939,正常
2025-01-31,-2.3,-4.48806,7.26386,正常
2025-01-31,-2.3,-4.48806,7.26386,正常
2025-02-28,-2.2,-4.47903,7.258329999999999,正常
2025-02-28,-2.2,-4.47903,7.258329999999999,正常
2025-03-31,-2.5,-4.47,7.2528,正常
2025-03-31,-2.5,-4.47,7.2528,正常
2025-04-30,-2.7,-4.463,7.2507399999999995,正常
2025-04-30,-2.7,-4.463,7.250739999999999,正常
2025-05-31,-3.3,-4.4559999999999995,7.24868,正常
2025-05-31,-3.3,-4.456,7.24868,正常
2025-06-30,-3.6,-4.449,7.24662,正常
2025-06-30,-3.6,-4.449,7.24662,正常
2025-07-31,-3.6,-4.442,7.24456,正常
2025-07-31,-3.6,-4.442,7.24456,正常
2025-08-31,-2.9,-4.4350000000000005,7.2425,正常
2025-08-31,-2.9,-4.4350000000000005,7.2425,正常
2025-09-30,-2.3,-4.428,7.2404399999999995,正常
2025-09-30,-2.3,-4.428,7.240439999999999,正常
2025-10-31,-2.1,-4.421,7.23838,正常
2025-10-31,-2.1,-4.421,7.23838,正常
2025-11-30,-2.2,-4.414000000000001,7.23632,正常
2025-11-30,-2.2,-4.414000000000001,7.23632,正常
2025-12-31,-1.9,-4.407,7.23426,正常
2025-12-31,-1.9,-4.407,7.23426,正常
2026-01-31,-1.4,-4.4,7.2322,正常
2026-01-31,-1.4,-4.4,7.2322,正常
2026-02-28,-0.9,-4.3920200000000005,7.22198,正常
2026-02-28,-0.9,-4.3920200000000005,7.22198,正常
2026-03-31,0.5,-4.38404,7.211760000000001,正常
2026-03-31,0.5,-4.38404,7.211760000000001,正常
2026-04-30,2.8,-4.37606,7.201540000000001,正常
2026-04-30,2.8,-4.37606,7.201540000000001,正常
2026-05-31,3.9,-4.36808,7.191319999999999,正常
2026-05-31,3.9,-4.36808,7.191319999999999,正常
2026-06-30,4.1,-4.3601,7.1811,正常
2026-06-30,4.1,-4.3601,7.1811,正常
2026-07-31,3.5,-4.35212,7.17088,正常
2026-07-31,3.5,-4.35212,7.17088,正常
