date,close,ma10,ma30,ma60,bull_alignment,bear_alignment_supplement,signal_score,signal_text,effective_date
2007-05-14,3808.25,3667.0909999999994,3245.755,2871.0546666666664,True,False,1,看多：10/30/60日均线多头排列,2007-05-15
2007-05-15,3677.98,3683.369,3277.5783333333334,2893.8686666666667,True,False,1,看多：10/30/60日均线多头排列,2007-05-16
2007-05-16,3778.79,3709.8979999999997,3312.527333333333,2918.1476666666663,True,False,1,看多：10/30/60日均线多头排列,2007-05-17
2007-05-17,3862.79,3740.2539999999995,3349.8503333333338,2945.1923333333334,True,False,1,看多：10/30/60日均线多头排列,2007-05-18
2007-05-18,3864.51,3772.691,3385.2929999999997,2972.487666666667,True,False,1,看多：10/30/60日均线多头排列,2007-05-21
2007-05-21,3936.93,3804.3489999999997,3422.237,3000.250333333334,True,False,1,看多：10/30/60日均线多头排列,2007-05-22
2007-05-22,3989.42,3827.139,3460.881666666667,3028.0561666666667,True,False,1,看多：10/30/60日均线多头排列,2007-05-23
2007-05-23,4070.52,3856.7,3503.4876666666664,3056.5393333333336,True,False,1,看多：10/30/60日均线多头排列,2007-05-24
2007-05-24,4053.53,3882.114,3545.3073333333327,3084.8683333333333,True,False,1,看多：10/30/60日均线多头排列,2007-05-25
2007-05-25,4121.69,3916.4410000000003,3587.1429999999996,3113.016666666667,True,False,1,看多：10/30/60日均线多头排列,2007-05-28
2007-05-28,4214.41,3957.057,3630.7213333333334,3142.0696666666668,True,False,1,看多：10/30/60日均线多头排列,2007-05-29
2007-05-29,4308.66,4020.125,3670.8233333333333,3171.6631666666663,True,False,1,看多：10/30/60日均线多头排列,2007-05-30
2007-05-30,4000.71,4042.3170000000005,3699.2743333333333,3194.811,True,False,1,看多：10/30/60日均线多头排列,2007-05-31
2007-05-31,3986.66,4054.704,3725.2463333333335,3217.5038333333337,True,False,1,看多：10/30/60日均线多头排列,2007-06-01
2007-06-01,3819.29,4050.182,3746.055666666667,3236.6059999999998,True,False,1,看多：10/30/60日均线多头排列,2007-06-04
2007-06-04,3516.65,4008.154,3753.799666666667,3254.7491666666665,True,False,1,看多：10/30/60日均线多头排列,2007-06-05
2007-06-05,3619.45,3971.157,3763.4590000000003,3273.0776666666666,True,False,1,看多：10/30/60日均线多头排列,2007-06-06
2007-06-06,3670.32,3931.1369999999997,3773.5416666666665,3293.359166666667,True,False,1,看多：10/30/60日均线多头排列,2007-06-07
2007-06-07,3812.34,3907.018,3793.9526666666666,3315.388,True,False,1,看多：10/30/60日均线多头排列,2007-06-08
2007-06-08,3855.03,3880.3520000000003,3810.8606666666665,3338.5053333333335,True,False,1,看多：10/30/60日均线多头排列,2007-06-11
2007-06-11,3950.32,3853.943,3826.0303333333336,3362.6394999999998,True,False,1,看多：10/30/60日均线多头排列,2007-06-12
2007-06-12,4056.27,3828.704,3844.066,3387.413666666667,False,False,0,未触发多头排列,2007-06-13
2007-06-13,4155.25,3844.1580000000004,3865.4576666666667,3413.1385,False,False,0,未触发多头排列,2007-06-14
2007-06-14,4108.7,3856.362,3883.773333333333,3438.2758333333336,False,False,0,未触发多头排列,2007-06-15
2007-06-15,4127.55,3887.1880000000006,3903.353666666667,3463.425333333333,False,False,0,未触发多头排列,2007-06-18
2007-06-18,4253.65,3960.888,3924.463666666667,3490.250333333333,True,False,1,看多：10/30/60日均线多头排列,2007-06-19
2007-06-19,4294.44,4028.387,3942.227666666666,3518.3641666666667,True,False,1,看多：10/30/60日均线多头排列,2007-06-20
2007-06-20,4190.59,4080.4139999999998,3956.083666666667,3543.9329999999995,True,False,1,看多：10/30/60日均线多头排列,2007-06-21
2007-06-21,4215.28,4120.7080000000005,3969.946666666667,3570.633,True,False,1,看多：10/30/60日均线多头排列,2007-06-22
2007-06-22,4044.92,4139.697,3978.83,3593.6398333333336,True,False,1,看多：10/30/60日均线多头排列,2007-06-25
2007-06-25,3848.69,4129.534,3980.178,3612.9665,True,False,1,看多：10/30/60日均线多头排列,2007-06-26
2007-06-26,3905.3,4114.437,3987.7553333333335,3632.666833333333,True,False,1,看多：10/30/60日均线多头排列,2007-06-27
2007-06-27,4012.45,4100.156999999999,3995.5440000000003,3654.035666666667,True,False,1,看多：10/30/60日均线多头排列,2007-06-28
2007-06-28,3811.87,4070.4739999999997,3993.8466666666664,3671.8485,True,False,1,看多：10/30/60日均线多头排列,2007-06-29
2007-06-29,3699.33,4027.6520000000005,3988.3406666666665,3686.816833333333,True,False,1,看多：10/30/60日均线多头排列,2007-07-02
2007-07-02,3708.31,3973.118,3980.72,3701.4785,False,False,0,未触发多头排列,2007-07-03
2007-07-03,3779.0,3921.5739999999996,3973.7059999999997,3717.2938333333336,False,False,0,未触发多头排列,2007-07-04
2007-07-04,3692.41,3871.7560000000003,3961.1023333333337,3732.2949999999996,False,False,0,未触发多头排列,2007-07-05
2007-07-05,3479.05,3798.1329999999994,3941.9530000000004,3743.630166666667,False,False,0,未触发多头排列,2007-07-06
2007-07-06,3659.82,3759.6229999999996,3926.557333333333,3756.8501666666666,False,False,0,未触发多头排列,2007-07-09
2007-07-09,3772.34,3751.9880000000003,3911.8216666666663,3771.2715000000003,False,False,0,未触发多头排列,2007-07-10
2007-07-10,3712.92,3732.75,3891.963666666667,3781.3934999999997,False,False,0,未触发多头排列,2007-07-11
2007-07-11,3734.78,3704.983,3883.0993333333336,3791.186833333333,False,False,0,未触发多头排列,2007-07-12
2007-07-12,3759.51,3699.7470000000003,3875.527666666667,3800.387,False,False,0,未触发多头排列,2007-07-13
2007-07-13,3758.34,3705.6479999999997,3873.496,3809.775833333333,False,False,0,未触发多头排列,2007-07-16
2007-07-16,3636.55,3698.472,3877.4926666666665,3815.646166666667,False,False,0,未触发多头排列,2007-07-17
2007-07-17,3724.53,3693.025,3880.9953333333333,3822.2271666666666,False,False,0,未触发多头排列,2007-07-18
2007-07-18,3741.42,3697.9260000000004,3883.365333333333,3828.4535,False,False,0,未触发多头排列,2007-07-19
2007-07-19,3744.73,3724.494,3881.1116666666667,3837.5321666666664,False,False,0,未触发多头排列,2007-07-20
2007-07-20,3904.75,3748.987,3882.7690000000002,3846.8148333333334,False,False,0,未触发多头排列,2007-07-23
2007-07-23,4091.11,3780.864,3887.462,3856.7461666666663,False,False,0,未触发多头排列,2007-07-24
2007-07-24,4096.56,3819.228,3888.8050000000003,3866.4355,False,False,0,未触发多头排列,2007-07-25
2007-07-25,4194.73,3865.2230000000004,3890.121,3877.7893333333336,False,False,0,未触发多头排列,2007-07-26
2007-07-26,4250.72,3914.344,3894.8550000000005,3889.3141666666666,True,False,1,看多：10/30/60日均线多头排列,2007-07-27
2007-07-27,4272.31,3965.7410000000004,3899.6803333333332,3901.517,False,False,0,未触发多头排列,2007-07-30
2007-07-30,4370.17,4039.103,3903.5643333333333,3914.0140000000006,False,False,0,未触发多头排列,2007-07-31
2007-07-31,4420.19,4108.669,3907.7560000000003,3924.9918333333335,False,False,0,未触发多头排列,2007-08-01
2007-08-01,4234.14,4157.941,3909.2076666666667,3932.6456666666663,False,False,0,未触发多头排列,2007-08-02
2007-08-02,4386.0,4222.068,3914.898333333333,3942.4225,False,False,0,未触发多头排列,2007-08-03
2007-08-03,4525.85,4284.178,3930.9293333333335,3954.8796666666667,False,False,0,未触发多头排列,2007-08-06
2007-08-06,4628.63,4337.93,3956.927333333333,3968.552666666667,False,False,0,未触发多头排列,2007-08-07
2007-08-07,4636.21,4391.895,3981.2909999999997,3984.523166666667,False,False,0,未触发多头排列,2007-08-08
2007-08-08,4575.81,4430.003,4000.0696666666668,3997.8068333333335,True,False,1,看多：10/30/60日均线多头排列,2007-08-09
2007-08-09,4669.65,4471.896,4028.6623333333337,4011.2545,True,False,1,看多：10/30/60日均线多头排列,2007-08-10
2007-08-10,4609.33,4505.598,4058.9956666666667,4023.668166666667,True,False,1,看多：10/30/60日均线多头排列,2007-08-13
2007-08-13,4600.7,4528.651,4088.742,4034.7309999999998,True,False,1,看多：10/30/60日均线多头排列,2007-08-14
2007-08-14,4682.13,4554.845,4118.846333333333,4046.276166666667,True,False,1,看多：10/30/60日均线多头排列,2007-08-15
2007-08-15,4679.1,4599.341,4151.736,4056.4191666666666,True,False,1,看多：10/30/60日均线多头排列,2007-08-16
2007-08-16,4626.73,4623.414,4189.992,4065.9725000000003,True,False,1,看多：10/30/60日均线多头排列,2007-08-17
2007-08-17,4542.97,4625.125999999999,4219.430333333334,4072.9938333333334,True,False,1,看多：10/30/60日均线多头排列,2007-08-20
2007-08-20,4781.82,4640.445,4253.079666666667,4082.4506666666666,True,False,1,看多：10/30/60日均线多头排列,2007-08-21
2007-08-21,4860.99,4662.923,4291.348666666667,4091.656166666667,True,False,1,看多：10/30/60日均线多头排列,2007-08-22
2007-08-22,4935.02,4698.844,4331.356666666667,4107.228,True,False,1,看多：10/30/60日均线多头排列,2007-08-23
2007-08-23,5010.48,4732.927000000001,4373.055666666667,4124.291666666667,True,False,1,看多：10/30/60日均线多头排列,2007-08-24
2007-08-24,5074.76,4779.469999999999,4416.936333333333,4145.216166666667,True,False,1,看多：10/30/60日均线多头排列,2007-08-27
2007-08-27,5089.93,4828.393,4465.382333333333,4171.437500000001,True,False,1,看多：10/30/60日均线多头排列,2007-08-28
2007-08-28,5097.71,4869.950999999999,4511.155,4196.0751666666665,True,False,1,看多：10/30/60日均线多头排列,2007-08-29
2007-08-29,5030.27,4905.068,4554.116666666667,4218.741,True,False,1,看多：10/30/60日均线多头排列,2007-08-30
2007-08-30,5116.21,4954.0160000000005,4599.832666666667,4240.472166666667,True,False,1,看多：10/30/60日均线多头排列,2007-08-31
2007-08-31,5171.06,5016.825,4642.043000000001,4262.406,True,False,1,看多：10/30/60日均线多头排列,2007-09-03
2007-09-03,5290.06,5067.649,4682.008,4284.735,True,False,1,看多：10/30/60日均线多头排列,2007-09-04
2007-09-04,5238.67,5105.4169999999995,4720.078333333334,4304.441666666667,True,False,1,看多：10/30/60日均线多头排列,2007-09-05
2007-09-05,5247.88,5136.7029999999995,4755.183333333333,4322.652166666667,True,False,1,看多：10/30/60日均线多头排列,2007-09-06
2007-09-06,5297.74,5165.429000000001,4790.084000000001,4342.4695,True,False,1,看多：10/30/60日均线多头排列,2007-09-07
2007-09-07,5179.15,5175.868,4820.312,4359.996166666667,True,False,1,看多：10/30/60日均线多头排列,2007-09-10
2007-09-10,5265.05,5193.38,4850.141333333333,4376.852833333334,True,False,1,看多：10/30/60日均线多头排列,2007-09-11
2007-09-11,4997.92,5183.401,4869.399,4388.5775,True,False,1,看多：10/30/60日均线多头排列,2007-09-12
2007-09-12,5070.11,5187.385,4897.264666666667,4403.2361666666675,True,False,1,看多：10/30/60日均线多头排列,2007-09-13
2007-09-13,5205.85,5196.349,4924.592999999999,4419.745666666667,True,False,1,看多：10/30/60日均线多头排列,2007-09-14
2007-09-14,5256.72,5204.915,4948.955333333333,4439.942333333333,True,False,1,看多：10/30/60日均线多头排列,2007-09-17
2007-09-17,5359.85,5211.894,4973.329333333333,4465.128333333333,True,False,1,看多：10/30/60日均线多头排列,2007-09-18
2007-09-18,5354.24,5223.451,4997.263666666666,4489.277333333333,True,False,1,看多：10/30/60日均线多头排列,2007-09-19
2007-09-19,5294.82,5228.145,5021.230666666666,4510.650166666667,True,False,1,看多：10/30/60日均线多头排列,2007-09-20
2007-09-20,5364.07,5234.778,5044.378,4536.520166666667,True,False,1,看多：10/30/60日均线多头排列,2007-09-21
2007-09-21,5332.01,5250.064,5068.467333333334,4563.7315,True,False,1,看多：10/30/60日均线多头排列,2007-09-24
2007-09-24,5372.92,5260.851000000001,5094.208,4591.475,True,False,1,看多：10/30/60日均线多头排列,2007-09-25
2007-09-25,5318.08,5292.867,5115.406333333333,4617.126333333334,True,False,1,看多：10/30/60日均线多头排列,2007-09-26
2007-09-26,5228.1,5308.666,5133.7063333333335,4642.721166666667,True,False,1,看多：10/30/60日均线多头排列,2007-09-27
2007-09-27,5288.21,5316.902,5155.755666666667,4672.873833333334,True,False,1,看多：10/30/60日均线多头排列,2007-09-28
2007-09-28,5430.64,5334.294,5185.344666666667,4702.3875,True,False,1,看多：10/30/60日均线多头排列,2007-10-08
2007-10-08,5486.94,5347.003,5208.848666666667,4730.964166666667,True,False,1,看多：10/30/60日均线多头排列,2007-10-09
2007-10-09,5516.64,5363.243,5230.703666666667,4761.0261666666665,True,False,1,看多：10/30/60日均线多头排列,2007-10-10
2007-10-10,5516.56,5385.4169999999995,5250.088333333334,4790.7225,True,False,1,看多：10/30/60日均线多头排列,2007-10-11
2007-10-11,5549.39,5403.949,5268.052,4820.553833333333,True,False,1,看多：10/30/60日均线多头排列,2007-10-12
2007-10-12,5505.64,5421.312,5282.414666666667,4849.6755,True,False,1,看多：10/30/60日均线多头排列,2007-10-15
2007-10-15,5569.75,5440.995,5298.408666666667,4881.8955000000005,True,False,1,看多：10/30/60日均线多头排列,2007-10-16
2007-10-16,5624.46,5471.633,5315.967000000001,4913.561,True,False,1,看多：10/30/60日均线多头排列,2007-10-17
2007-10-17,5580.48,5506.871,5334.307333333333,4944.212,True,False,1,看多：10/30/60日均线多头排列,2007-10-18
2007-10-18,5394.54,5517.504,5343.585,4971.708833333334,True,False,1,看多：10/30/60日均线多头排列,2007-10-19
2007-10-19,5393.13,5513.753,5350.9873333333335,4996.515166666667,True,False,1,看多：10/30/60日均线多头排列,2007-10-22
2007-10-22,5256.32,5490.691,5349.862666666667,5015.935333333333,True,False,1,看多：10/30/60日均线多头排列,2007-10-23
2007-10-23,5308.38,5469.865,5352.186333333333,5036.132333333333,True,False,1,看多：10/30/60日均线多头排列,2007-10-24
2007-10-24,5324.96,5450.705,5354.755666666666,5054.9695,True,False,1,看多：10/30/60日均线多头排列,2007-10-25
2007-10-25,5052.56,5401.022,5346.583,5068.3335,True,False,1,看多：10/30/60日均线多头排列,2007-10-26
2007-10-26,5094.77,5359.935,5343.770333333334,5082.041166666666,True,False,1,看多：10/30/60日均线多头排列,2007-10-29
2007-10-29,5195.68,5322.528,5341.458,5095.799666666667,False,False,0,未触发多头排列,2007-10-30
2007-10-30,5285.19,5288.601000000001,5351.033666666667,5110.216333333333,False,False,0,未触发多头排列,2007-10-31
2007-10-31,5391.91,5269.744000000001,5361.760333333334,5129.5125,False,False,0,未触发多头排列,2007-11-01
2007-11-01,5301.56,5260.446,5364.9506666666675,5144.771833333333,False,False,0,未触发多头排列,2007-11-02
2007-11-02,5177.11,5238.844,5362.2970000000005,5155.626166666667,False,False,0,未触发多头排列,2007-11-05
2007-11-05,5096.9,5222.902,5353.532,5163.430666666666,False,False,0,未触发多头排列,2007-11-06
2007-11-06,5070.98,5199.161999999999,5344.09,5170.676833333334,False,False,0,未触发多头排列,2007-11-07
2007-11-07,5094.6,5176.125999999999,5337.416,5179.323333333333,False,False,0,未触发多头排列,2007-11-08
2007-11-08,4856.55,5156.525,5320.498666666666,5182.4383333333335,False,False,0,未触发多头排列,2007-11-09
2007-11-09,4804.02,5127.45,5302.899,5185.683166666667,False,False,0,未触发多头排列,2007-11-12
2007-11-12,4743.94,5082.276,5281.933000000001,5188.0705,False,False,0,未触发多头排列,2007-11-13
2007-11-13,4717.24,5025.481,5261.905,5188.655666666667,False,False,0,未触发多头排列,2007-11-14
2007-11-14,4909.65,4977.254999999999,5251.29,5192.498166666667,False,False,0,未触发多头排列,2007-11-15
2007-11-15,4847.94,4931.893,5236.614333333333,5196.185,False,False,0,未触发多头排列,2007-11-16
2007-11-16,4792.52,4893.433999999999,5215.343666666667,5200.344166666666,False,False,0,未触发多头排列,2007-11-19
2007-11-19,4802.79,4864.022999999999,5192.538666666666,5200.693666666667,False,True,0,未触发多头排列,2007-11-20
2007-11-20,4873.52,4844.277,5171.101333333333,5200.902499999999,False,True,0,未触发多头排列,2007-11-21
2007-11-21,4804.23,4815.24,5147.357,5198.7226666666675,False,True,0,未触发多头排列,2007-11-22
2007-11-22,4587.69,4788.354,5115.300333333334,5191.676166666667,False,True,0,未触发多头排列,2007-11-23
2007-11-23,4669.86,4774.938,5087.441,5184.927833333333,False,True,0,未触发多头排列,2007-11-26
2007-11-26,4617.29,4762.273,5055.692333333333,5177.050499999999,False,True,0,未触发多头排列,2007-11-27
2007-11-27,4539.06,4744.455,5019.512333333333,5167.739666666666,False,True,0,未触发多头排列,2007-11-28
2007-11-28,4483.99,4701.889,4982.962666666667,5158.635,False,True,0,未触发多头排列,2007-11-29
2007-11-29,4657.04,4682.799,4958.379333333333,5150.982166666667,False,True,0,未触发多头排列,2007-11-30
2007-11-30,4562.4,4659.787,4930.6883333333335,5140.837833333333,False,True,0,未触发多头排列,2007-12-03
2007-12-03,4599.91,4639.499,4908.808,5129.335333333333,False,True,0,未触发多头排列,2007-12-04
2007-12-04,4648.93,4617.039999999999,4886.826333333333,5119.506333333334,False,True,0,未触发多头排列,2007-12-05
2007-12-05,4772.06,4613.823,4868.396333333334,5111.576,False,True,0,未触发多头排列,2007-12-06
2007-12-06,4779.89,4633.043,4859.307333333333,5102.945166666667,False,True,0,未触发多头排列,2007-12-07
2007-12-07,4849.72,4651.029,4851.138999999999,5097.4546666666665,False,True,0,未触发多头排列,2007-12-10
2007-12-10,4947.39,4684.039,4842.862666666667,5092.160333333333,False,True,0,未触发多头排列,2007-12-11
2007-12-11,4963.34,4726.467,4832.134333333333,5091.584000000001,False,True,0,未触发多头排列,2007-12-12
2007-12-12,4916.81,4769.749000000001,4816.297666666666,5089.0289999999995,False,True,0,未触发多头排列,2007-12-13
2007-12-13,4736.43,4777.688,4797.46,5081.205333333333,False,True,0,未触发多头排列,2007-12-14
2007-12-14,4829.69,4804.4169999999995,4785.879333333333,5074.088166666667,False,False,0,未触发多头排列,2007-12-17
2007-12-17,4737.63,4818.189,4773.903666666667,5063.717833333333,False,False,0,未触发多头排列,2007-12-18
2007-12-18,4708.17,4824.113,4761.8099999999995,5052.95,False,False,0,未触发多头排列,2007-12-19
2007-12-19,4819.51,4828.858,4752.640333333333,5045.028166666667,False,False,0,未触发多头排列,2007-12-20
2007-12-20,4902.11,4841.08,4754.159000000001,5037.328833333333,False,False,0,未触发多头排列,2007-12-21
2007-12-21,4967.33,4852.840999999999,4759.602666666667,5031.2508333333335,False,False,0,未触发多头排列,2007-12-24
2007-12-24,5066.5,4864.7519999999995,4770.354666666666,5026.1438333333335,False,False,0,未触发多头排列,2007-12-25
2007-12-25,5083.08,4876.726000000001,4782.549333333333,5022.227166666667,False,False,0,未触发多头排列,2007-12-26
2007-12-26,5141.34,4899.179,4790.272333333333,5020.781166666667,False,False,0,未触发多头排列,2007-12-27
2007-12-27,5231.87,4948.723,4803.070000000001,5019.842166666666,False,False,0,未触发多头排列,2007-12-28
2007-12-28,5205.74,4986.3279999999995,4816.844,5016.093833333333,False,False,0,未触发多头排列,2008-01-02
2008-01-02,5278.92,5040.457,4832.715,5012.626833333334,False,False,0,未触发多头排列,2008-01-03
2008-01-03,5329.96,5102.636,4847.929666666667,5009.5154999999995,False,False,0,未触发多头排列,2008-01-04
2008-01-04,5380.78,5158.763,4867.148,5007.2525000000005,False,False,0,未触发多头排列,2008-01-07
2008-01-07,5459.6,5214.512,4896.211666666667,5005.755999999999,False,False,0,未触发多头排列,2008-01-08
2008-01-08,5406.77,5258.456,4920.775333333334,5004.108166666667,False,False,0,未触发多头排列,2008-01-09
2008-01-09,5505.88,5302.394,4950.395,5003.0436666666665,False,False,0,未触发多头排列,2008-01-10
2008-01-10,5557.09,5349.795,4984.329333333333,5001.920833333334,False,False,0,未触发多头排列,2008-01-11
2008-01-11,5577.2,5393.380999999999,5020.769666666666,5001.866166666666,True,False,1,看多：10/30/60日均线多头排列,2008-01-14
2008-01-14,5616.75,5431.869000000001,5052.76,5005.569666666666,True,False,1,看多：10/30/60日均线多头排列,2008-01-15
2008-01-15,5597.5,5471.045,5087.263333333334,5008.975833333333,True,False,1,看多：10/30/60日均线多头排列,2008-01-16
2008-01-16,5432.36,5486.389,5115.011666666667,5011.909833333333,True,False,1,看多：10/30/60日均线多头排列,2008-01-17
2008-01-17,5293.28,5482.721,5136.49,5011.658166666666,True,False,1,看多：10/30/60日均线多头排列,2008-01-18
2008-01-18,5341.16,5478.759,5155.46,5011.928166666667,True,False,1,看多：10/30/60日均线多头排列,2008-01-21
2008-01-21,5084.98,5441.2970000000005,5165.629666666667,5012.468500000001,True,False,1,看多：10/30/60日均线多头排列,2008-01-22
2008-01-22,4688.1,5369.429999999999,5160.242333333334,5005.690666666666,True,False,1,看多：10/30/60日均线多头排列,2008-01-23
2008-01-23,4913.08,5310.15,5159.098666666667,5000.980666666667,True,False,1,看多：10/30/60日均线多头排列,2008-01-24
2008-01-24,4988.54,5253.295,5159.938666666667,4996.0365,True,False,1,看多：10/30/60日均线多头排列,2008-01-25
2008-01-25,5031.21,5198.696,5163.7519999999995,4990.024833333333,True,False,1,看多：10/30/60日均线多头排列,2008-01-28
2008-01-28,4686.91,5105.7119999999995,5162.101333333334,4979.780666666667,False,False,0,未触发多头排列,2008-01-29
