date,cpi_available_date,cpi_yoy_pct,historical_q10,historical_q90,signal_score,signal_text,effective_date
2012-02-29,2012-03-20,3.1613,-1.2376999999999998,7.07936,0,中性,2012-03-21
2012-03-31,2012-04-20,3.5856,-1.2209999999999999,7.07873,0,中性,2012-04-23
2012-04-30,2012-05-20,3.3653,-1.2043,7.0781,0,中性,2012-05-21
2012-05-31,2012-06-20,3.0008,-1.20101,7.015369999999999,0,中性,2012-06-21
2012-06-30,2012-07-20,2.1504,-1.19772,6.952640000000002,0,中性,2012-07-23
2012-07-31,2012-08-20,1.8,-1.1944299999999999,6.889910000000002,0,中性,2012-08-21
2012-08-31,2012-09-20,2.0,-1.1911399999999999,6.827180000000001,0,中性,2012-09-21
2012-09-30,2012-10-20,1.9,-1.18785,6.76445,0,中性,2012-10-22
2012-10-31,2012-11-20,1.7,-1.18456,6.701719999999999,0,中性,2012-11-21
2012-11-30,2012-12-20,2.0,-1.18127,6.638990000000002,0,中性,2012-12-21
2012-12-31,2013-01-20,2.5,-1.17798,6.576260000000002,0,中性,2013-01-21
2013-01-31,2013-02-20,2.0,-1.17469,6.513530000000001,0,中性,2013-02-21
2013-02-28,2013-03-20,3.2,-1.1714,6.4508,0,中性,2013-03-21
2013-03-31,2013-04-20,2.1,-1.1330899999999997,6.44125,0,中性,2013-04-22
2013-04-30,2013-05-20,2.4,-1.0947799999999999,6.4317,0,中性,2013-05-21
2013-05-31,2013-06-20,2.0981,-1.0564699999999998,6.42215,0,中性,2013-06-21
2013-06-30,2013-07-20,2.7,-1.01816,6.4126,0,中性,2013-07-22
2013-07-31,2013-08-20,2.7,-0.97985,6.40305,0,中性,2013-08-21
2013-08-31,2013-09-20,2.6,-0.9415399999999998,6.3934999999999995,0,中性,2013-09-23
2013-09-30,2013-10-20,3.1,-0.90323,6.3839500000000005,0,中性,2013-10-21
2013-10-31,2013-11-20,3.2,-0.8649199999999997,6.3744000000000005,0,中性,2013-11-21
2013-11-30,2013-12-20,3.0,-0.8266099999999998,6.36485,0,中性,2013-12-23
2013-12-31,2014-01-20,2.49871692,-0.7883,6.3553,0,中性,2014-01-21
2014-01-31,2014-02-20,2.5,-0.7624699999999999,6.34997,0,中性,2014-02-21
2014-02-28,2014-03-20,2.0,-0.73664,6.344639999999999,0,中性,2014-03-21
2014-03-31,2014-04-20,2.4,-0.7108099999999998,6.33931,0,中性,2014-04-21
2014-04-30,2014-05-20,1.80138144,-0.6849799999999999,6.33398,0,中性,2014-05-21
2014-05-31,2014-06-20,2.5,-0.65915,6.32865,0,中性,2014-06-23
2014-06-30,2014-07-20,2.3,-0.6333199999999999,6.32332,0,中性,2014-07-21
2014-07-31,2014-08-20,2.3,-0.60749,6.317989999999999,0,中性,2014-08-21
2014-08-31,2014-09-20,2.0,-0.5816599999999998,6.31266,0,中性,2014-09-22
2014-09-30,2014-10-20,1.6,-0.5558299999999999,6.30733,0,中性,2014-10-21
2014-10-31,2014-11-20,1.60114868,-0.53,6.302,0,中性,2014-11-21
2014-11-30,2014-12-20,1.4,-0.4210000000000004,6.28694,0,中性,2014-12-22
2014-12-31,2015-01-20,1.5,-0.31199999999999883,6.2718799999999995,0,中性,2015-01-21
2015-01-31,2015-02-20,0.8,-0.20299999999999924,6.25682,0,中性,2015-02-25
2015-02-28,2015-03-20,1.4,-0.09399999999999958,6.241760000000001,0,中性,2015-03-23
2015-03-31,2015-04-20,1.4,0.015000000000000013,6.226699999999999,0,中性,2015-04-21
2015-04-30,2015-05-20,1.5,0.12399999999999967,6.211640000000001,0,中性,2015-05-21
2015-05-31,2015-06-20,1.2,0.2330000000000012,6.196579999999999,0,中性,2015-06-23
2015-06-30,2015-07-20,1.4,0.34200000000000086,6.18152,0,中性,2015-07-21
2015-07-31,2015-08-20,1.6,0.4510000000000004,6.166460000000001,0,中性,2015-08-21
2015-08-31,2015-09-20,2.0,0.56,6.1514,0,中性,2015-09-21
2015-09-30,2015-10-20,1.59560463,0.584,6.14297,0,中性,2015-10-21
2015-10-31,2015-11-20,1.3,0.6080000000000003,6.134539999999999,0,中性,2015-11-23
2015-11-30,2015-12-20,1.5,0.6320000000000002,6.12611,0,中性,2015-12-21
2015-12-31,2016-01-20,1.6,0.6560000000000001,6.117680000000001,0,中性,2016-01-21
2016-01-31,2016-02-20,1.8,0.68,6.109249999999999,0,中性,2016-02-22
2016-02-29,2016-03-20,2.3,0.7040000000000004,6.100820000000001,0,中性,2016-03-21
2016-03-31,2016-04-20,2.3,0.7280000000000003,6.09239,0,中性,2016-04-21
2016-04-30,2016-05-20,2.3,0.7520000000000002,6.08396,0,中性,2016-05-23
2016-05-31,2016-06-20,2.0,0.7760000000000001,6.0755300000000005,0,中性,2016-06-21
2016-06-30,2016-07-20,1.9,0.8,6.0671,0,中性,2016-07-21
2016-07-31,2016-08-20,1.8,0.8150000000000003,6.0118500000000035,0,中性,2016-08-22
2016-08-31,2016-09-20,1.3,0.8300000000000002,5.956599999999998,0,中性,2016-09-21
2016-09-30,2016-10-20,1.9,0.8450000000000001,5.901350000000002,0,中性,2016-10-21
2016-10-31,2016-11-20,2.1,0.8600000000000001,5.846100000000004,0,中性,2016-11-21
2016-11-30,2016-12-20,2.3,0.875,5.79085,0,中性,2016-12-21
2016-12-31,2017-01-20,2.1,0.8900000000000002,5.735600000000003,0,中性,2017-01-23
2017-01-31,2017-02-20,2.5,0.9050000000000001,5.680349999999998,0,中性,2017-02-21
2017-02-28,2017-03-20,0.8,0.92,5.6251000000000015,1,看多：CPI处于历史低位,2017-03-21
2017-03-31,2017-04-20,0.9,0.8,5.569850000000004,0,中性,2017-04-21
2017-04-30,2017-05-20,1.2,0.8,5.5146,0,中性,2017-05-22
2017-05-31,2017-06-20,1.5,0.8100000000000002,5.51268,0,中性,2017-06-21
2017-06-30,2017-07-20,1.5,0.8200000000000002,5.510759999999999,0,中性,2017-07-21
2017-07-31,2017-08-20,1.4,0.8300000000000001,5.50884,0,中性,2017-08-21
2017-08-31,2017-09-20,1.8,0.8400000000000001,5.50692,0,中性,2017-09-21
2017-09-30,2017-10-20,1.6,0.8500000000000001,5.505,0,中性,2017-10-23
2017-10-31,2017-11-20,1.9,0.8600000000000002,5.50308,0,中性,2017-11-21
2017-11-30,2017-12-20,1.7,0.8700000000000001,5.50116,0,中性,2017-12-21
2017-12-31,2018-01-20,1.8,0.8800000000000001,5.49924,0,中性,2018-01-22
2018-01-31,2018-02-20,1.5,0.89,5.49732,0,中性,2018-02-22
2018-02-28,2018-03-20,2.9,0.9,5.4954,0,中性,2018-03-21
2018-03-31,2018-04-20,2.1,0.9050000000000001,5.484160000000001,0,中性,2018-04-23
2018-04-30,2018-05-20,1.8,0.91,5.472919999999999,0,中性,2018-05-21
2018-05-31,2018-06-20,1.8,0.915,5.46168,0,中性,2018-06-21
2018-06-30,2018-07-20,1.9,0.92,5.450440000000001,0,中性,2018-07-23
2018-07-31,2018-08-20,2.1,0.925,5.4392,0,中性,2018-08-21
2018-08-31,2018-09-20,2.3,0.93,5.427960000000001,0,中性,2018-09-21
2018-09-30,2018-10-20,2.5,0.935,5.41672,0,中性,2018-10-22
2018-10-31,2018-11-20,2.5,0.94,5.405480000000001,0,中性,2018-11-21
2018-11-30,2018-12-20,2.2,0.945,5.394240000000001,0,中性,2018-12-21
2018-12-31,2019-01-20,1.9,0.95,5.383,0,中性,2019-01-21
2019-01-31,2019-02-20,1.7,0.9749900000000004,5.37912,0,中性,2019-02-21
2019-02-28,2019-03-20,1.5,0.9999800000000002,5.37524,0,中性,2019-03-21
2019-03-31,2019-04-20,2.3,1.0249700000000002,5.37136,0,中性,2019-04-22
2019-04-30,2019-05-20,2.5,1.04996,5.3674800000000005,0,中性,2019-05-21
2019-05-31,2019-06-20,2.7,1.0749499999999999,5.3636,0,中性,2019-06-21
2019-06-30,2019-07-20,2.7,1.0999400000000004,5.35972,0,中性,2019-07-22
2019-07-31,2019-08-20,2.8,1.1249300000000002,5.35584,0,中性,2019-08-21
2019-08-31,2019-09-20,2.8,1.14992,5.35196,0,中性,2019-09-23
2019-09-30,2019-10-20,3.0,1.1749100000000001,5.34808,0,中性,2019-10-21
2019-10-31,2019-11-20,3.8,1.1999,5.3442,0,中性,2019-11-21
2019-11-30,2019-12-20,4.5,1.19991,5.321700000000001,0,中性,2019-12-23
2019-12-31,2020-01-20,4.5,1.1999199999999999,5.299199999999999,0,中性,2020-01-21
2020-01-31,2020-02-20,5.4,1.19993,5.2767000000000035,-1,看空：CPI处于历史高位,2020-02-21
2020-02-29,2020-03-20,5.2,1.19994,5.36748,0,中性,2020-03-23
2020-03-31,2020-04-20,4.3,1.1999499999999999,5.3636,0,中性,2020-04-21
2020-04-30,2020-05-20,3.3,1.19996,5.35972,0,中性,2020-05-21
2020-05-31,2020-06-20,2.4,1.19997,5.355840000000001,0,中性,2020-06-22
2020-06-30,2020-07-20,2.5,1.19998,5.351960000000001,0,中性,2020-07-21
2020-07-31,2020-08-20,2.7,1.19999,5.3480799999999995,0,中性,2020-08-21
2020-08-31,2020-09-20,2.4,1.2,5.3442,0,中性,2020-09-21
2020-09-30,2020-10-20,1.7,1.2,5.32978,0,中性,2020-10-21
2020-10-31,2020-11-20,0.5,1.2,5.315360000000002,1,看多：CPI处于历史低位,2020-11-23
2020-11-30,2020-12-20,-0.5,1.19993,5.300940000000002,1,看多：CPI处于历史低位,2020-12-21
2020-12-31,2021-01-20,0.2,1.04996,5.286519999999999,1,看多：CPI处于历史低位,2021-01-21
2021-01-31,2021-02-20,-0.3,0.925,5.2721,1,看多：CPI处于历史低位,2021-02-22
2021-02-28,2021-03-20,-0.2,0.8600000000000002,5.257680000000001,1,看多：CPI处于历史低位,2021-03-22
2021-03-31,2021-04-20,0.4,0.8,5.243260000000002,1,看多：CPI处于历史低位,2021-04-21
2021-04-30,2021-05-20,0.9,0.7520000000000002,5.228840000000003,0,中性,2021-05-21
2021-05-31,2021-06-20,1.3,0.7760000000000001,5.21442,0,中性,2021-06-21
2021-06-30,2021-07-20,1.1,0.8,5.2,0,中性,2021-07-21
2021-07-31,2021-08-20,1.0,0.8,5.1919200000000005,0,中性,2021-08-23
2021-08-31,2021-09-20,0.8,0.8,5.183840000000001,0,中性,2021-09-22
2021-09-30,2021-10-20,0.7,0.8,5.175760000000001,1,看多：CPI处于历史低位,2021-10-21
2021-10-31,2021-11-20,1.5,0.7400000000000002,5.16768,0,中性,2021-11-22
2021-11-30,2021-12-20,2.3,0.75,5.1596,0,中性,2021-12-21
2021-12-31,2022-01-20,1.5,0.7600000000000001,5.1515200000000005,0,中性,2022-01-21
2022-01-31,2022-02-20,0.9,0.7699999999999999,5.143440000000001,0,中性,2022-02-21
2022-02-28,2022-03-20,0.9,0.7800000000000001,5.135360000000001,0,中性,2022-03-21
2022-03-31,2022-04-20,1.5,0.7900000000000003,5.12728,0,中性,2022-04-21
2022-04-30,2022-05-20,2.1,0.8,5.1192,0,中性,2022-05-23
2022-05-31,2022-06-20,2.1,0.8,5.1017100000000015,0,中性,2022-06-21
2022-06-30,2022-07-20,2.5,0.8,5.084220000000002,0,中性,2022-07-21
2022-07-31,2022-08-20,2.7,0.8,5.066730000000003,0,中性,2022-08-22
2022-08-31,2022-09-20,2.5,0.8,5.049239999999999,0,中性,2022-09-21
2022-09-30,2022-10-20,2.8,0.8,5.031750000000001,0,中性,2022-10-21
2022-10-31,2022-11-20,2.1,0.8,5.014260000000001,0,中性,2022-11-21
2022-11-30,2022-12-20,1.6,0.8,4.996770000000002,0,中性,2022-12-21
2022-12-31,2023-01-20,1.8,0.8,4.979280000000003,0,中性,2023-01-30
2023-01-31,2023-02-20,2.1,0.8,4.961789999999999,0,中性,2023-02-21
2023-02-28,2023-03-20,1.0,0.8,4.9443,0,中性,2023-03-21
2023-03-31,2023-04-20,0.7,0.8,4.94108,1,看多：CPI处于历史低位,2023-04-21
2023-04-30,2023-05-20,0.1,0.8,4.937860000000001,1,看多：CPI处于历史低位,2023-05-22
2023-05-31,2023-06-20,0.2,0.7300000000000001,4.934640000000001,1,看多：CPI处于历史低位,2023-06-21
2023-06-30,2023-07-20,0.0,0.7,4.93142,1,看多：CPI处于历史低位,2023-07-21
2023-07-31,2023-08-20,-0.3,0.63,4.9282,1,看多：CPI处于历史低位,2023-08-21
2023-08-31,2023-09-20,0.1,0.5360000000000001,4.92498,1,看多：CPI处于历史低位,2023-09-21
2023-09-30,2023-10-20,0.0,0.4699999999999999,4.92176,1,看多：CPI处于历史低位,2023-10-23
2023-10-31,2023-11-20,-0.2,0.36000000000000015,4.91854,1,看多：CPI处于历史低位,2023-11-21
2023-11-30,2023-12-20,-0.5,0.2,4.9153199999999995,1,看多：CPI处于历史低位,2023-12-21
2023-12-31,2024-01-20,-0.3,0.2,4.9121,1,看多：CPI处于历史低位,2024-01-22
2024-01-31,2024-02-20,-0.8,0.11000000000000015,4.9109,1,看多：CPI处于历史低位,2024-02-21
2024-02-29,2024-03-20,0.7,0.1,4.9097,0,中性,2024-03-21
2024-03-31,2024-04-20,0.1,0.1,4.9085,0,中性,2024-04-22
2024-04-30,2024-05-20,0.3,0.1,4.9073,0,中性,2024-05-21
2024-05-31,2024-06-20,0.3,0.1,4.9061,0,中性,2024-06-21
2024-06-30,2024-07-20,0.2,0.1,4.9049,0,中性,2024-07-22
2024-07-31,2024-08-20,0.5,0.1,4.9037,0,中性,2024-08-21
2024-08-31,2024-09-20,0.6,0.1,4.9025,0,中性,2024-09-23
2024-09-30,2024-10-20,0.4,0.1,4.9013,0,中性,2024-10-21
2024-10-31,2024-11-20,0.3,0.1,4.9001,0,中性,2024-11-21
2024-11-30,2024-12-20,0.2,0.1,4.874340000000002,0,中性,2024-12-23
2024-12-31,2025-01-20,0.1,0.1,4.848580000000003,0,中性,2025-01-21
2025-01-31,2025-02-20,0.5,0.1,4.8228200000000045,0,中性,2025-02-21
2025-02-28,2025-03-20,-0.7,0.1,4.797059999999998,1,看多：CPI处于历史低位,2025-03-21
2025-03-31,2025-04-20,-0.1,0.1,4.7713,1,看多：CPI处于历史低位,2025-04-21
2025-04-30,2025-05-20,-0.1,0.060000000000000143,4.745540000000002,1,看多：CPI处于历史低位,2025-05-21
2025-05-31,2025-06-20,-0.1,0.0,4.719780000000003,1,看多：CPI处于历史低位,2025-06-23
2025-06-30,2025-07-20,0.1,-0.019999999999999934,4.6940200000000045,0,中性,2025-07-21
2025-07-31,2025-08-20,0.0,-0.009999999999999787,4.668259999999998,0,中性,2025-08-21
2025-08-31,2025-09-20,-0.4,0.0,4.6425,1,看多：CPI处于历史低位,2025-09-22
2025-09-30,2025-10-20,-0.3,-0.08999999999999986,4.63684,1,看多：CPI处于历史低位,2025-10-21
2025-10-31,2025-11-20,0.2,-0.1,4.6311800000000005,0,中性,2025-11-21
2025-11-30,2025-12-20,0.7,-0.1,4.625520000000001,0,中性,2025-12-22
2025-12-31,2026-01-20,0.8,-0.1,4.619859999999999,0,中性,2026-01-21
2026-01-31,2026-02-20,0.2,-0.1,4.6142,0,中性,2026-02-24
2026-02-28,2026-03-20,1.3,-0.1,4.6085400000000005,0,中性,2026-03-23
2026-03-31,2026-04-20,1.0,-0.1,4.602880000000001,0,中性,2026-04-21
2026-04-30,2026-05-20,1.2,-0.1,4.597220000000001,0,中性,2026-05-21
2026-05-31,2026-06-20,1.2,-0.1,4.591559999999999,0,中性,2026-06-22
2026-06-30,2026-07-20,1.0,-0.1,4.5859,0,中性,2026-07-21
2026-07-31,2026-08-20,0.5,-0.08999999999999986,4.58216,0,中性,2026-08-21
