date,equity_position,fund_count,position_ma5,position_ma20,position_ma40,position_ma60,position_ma120,position_mean,position_std,overheat_line,oversold_line,position_change,signal
2007-11-19,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-20,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-21,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-22,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-23,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-26,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-27,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-28,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-29,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-11-30,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-03,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-04,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-05,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-06,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-07,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-10,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-11,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-12,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-13,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-14,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-17,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-18,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-19,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-20,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-21,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-24,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-25,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-26,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-27,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-28,77.0,327,77.0,77.0,77.0,77.0,77.0,77.0,0.0,77.0,77.0,0.0,中性
2007-12-31,74.32,342,76.464,76.866,76.933,76.95533333333333,76.95939393939393,76.95939393939393,0.32988519582461223,77.28927913521855,76.62950874356932,-0.5360000000000014,情绪过冷(低仓位)
2008-01-01,74.32,342,75.928,76.732,76.866,76.91066666666667,76.92,76.92,0.45951225789038025,77.37951225789038,76.46048774210962,-1.0720000000000027,情绪过冷(低仓位)
2008-01-02,74.32,342,75.392,76.598,76.799,76.866,76.88176470588235,76.88176470588235,0.5544472605269886,77.43621196640933,76.32731744535536,-1.608000000000004,情绪过冷(低仓位)
2008-01-03,74.32,342,74.856,76.464,76.732,76.82133333333333,76.84463768115941,76.84463768115941,0.6308737631490455,77.47551144430845,76.21376391801037,-2.1440000000000055,情绪过冷(低仓位)
2008-01-04,74.32,342,74.32,76.33,76.66499999999999,76.77666666666667,76.80857142857144,76.80857142857144,0.6951890280197819,77.50376045659122,76.11338240055166,-2.680000000000007,情绪过冷(低仓位)
2008-01-07,74.32,342,74.32,76.196,76.598,76.732,76.77352112676057,76.77352112676057,0.7507388714584536,77.52425999821902,76.02278225530212,-2.680000000000007,情绪过冷(低仓位)
2008-01-08,74.32,342,74.32,76.062,76.53099999999999,76.68733333333333,76.73944444444444,76.73944444444444,0.799548973015657,77.5389934174601,75.93989547142878,-2.680000000000007,情绪过冷(低仓位)
2008-01-09,74.32,342,74.32,75.928,76.464,76.64266666666666,76.70630136986301,76.70630136986301,0.8429635336275682,77.54926490349058,75.86333783623544,-2.680000000000007,情绪过冷(低仓位)
2008-01-10,74.32,342,74.32,75.794,76.397,76.598,76.67405405405405,76.67405405405405,0.8819326829821582,77.5559867370362,75.7921213710719,-2.680000000000007,情绪过冷(低仓位)
2008-01-11,74.32,342,74.32,75.66,76.33,76.55333333333333,76.64266666666667,76.64266666666667,0.9171597363502084,77.55982640301688,75.72550693031646,-2.680000000000007,情绪过冷(低仓位)
2008-01-14,74.32,342,74.32,75.526,76.263,76.50866666666666,76.61210526315789,76.61210526315789,0.9491839523709823,77.56128921552887,75.6629213107869,-2.680000000000007,情绪过冷(低仓位)
2008-01-15,74.32,342,74.32,75.392,76.196,76.464,76.58233766233766,76.58233766233766,0.9784303973092195,77.56076805964689,75.60390726502844,-2.680000000000007,情绪过冷(低仓位)
2008-01-16,74.32,342,74.32,75.258,76.12899999999999,76.41933333333333,76.55333333333333,76.55333333333333,1.005241673683909,77.55857500701724,75.54809165964942,-2.680000000000007,情绪过冷(低仓位)
2008-01-17,74.32,342,74.32,75.124,76.062,76.37466666666666,76.52506329113923,76.52506329113923,1.0298990159828134,77.55496230712204,75.49516427515643,-2.680000000000007,情绪过冷(低仓位)
2008-01-18,74.32,342,74.32,74.99,75.99499999999999,76.33,76.4975,76.4975,1.052636833764368,77.55013683376437,75.44486316623563,-2.680000000000007,情绪过冷(低仓位)
2008-01-21,74.32,342,74.32,74.856,75.928,76.28533333333333,76.47061728395062,76.47061728395062,1.0736530464715017,77.54427033042212,75.39696423747911,-2.680000000000007,情绪过冷(低仓位)
2008-01-22,74.32,342,74.32,74.722,75.861,76.24066666666666,76.44439024390243,76.44439024390243,1.0931166198512432,77.53750686375368,75.35127362405119,-2.680000000000007,情绪过冷(低仓位)
2008-01-23,74.32,342,74.32,74.588,75.794,76.196,76.4187951807229,76.4187951807229,1.1111731853232307,77.52996836604612,75.30762199539967,-2.680000000000007,情绪过冷(低仓位)
2008-01-24,74.32,342,74.32,74.454,75.727,76.15133333333333,76.39380952380952,76.39380952380952,1.1279493118171098,77.52175883562663,75.26586021199242,-2.680000000000007,情绪过冷(低仓位)
2008-01-25,74.32,342,74.32,74.32,75.66,76.10666666666665,76.36941176470587,76.36941176470587,1.1435558088502664,77.51296757355614,75.22585595585561,-2.680000000000007,情绪过冷(低仓位)
2008-01-28,74.32,342,74.32,74.32,75.59299999999999,76.062,76.34558139534884,76.34558139534884,1.1580903191955736,77.50367171454442,75.18749107615326,-2.1440000000000055,情绪过冷(低仓位)
2008-01-29,74.32,342,74.32,74.32,75.526,76.01733333333333,76.32229885057471,76.32229885057471,1.171639381329592,77.49393823190431,75.15065946924511,-1.608000000000004,情绪过冷(低仓位)
2008-01-30,74.32,342,74.32,74.32,75.45899999999999,75.97266666666665,76.29954545454545,76.29954545454545,1.1842800898619694,77.48382554440742,75.11526536468348,-1.0720000000000027,情绪过冷(低仓位)
2008-01-31,74.32,342,74.32,74.32,75.392,75.92800000000001,76.27730337078653,76.27730337078653,1.1960814467982008,77.47338481758473,75.08122192398832,-0.5360000000000014,情绪过冷(低仓位)
2008-02-01,74.32,342,74.32,74.32,75.325,75.88333333333334,76.25555555555556,76.25555555555556,1.2071054719760042,77.46266102753157,75.04845008357955,0.0,情绪过冷(低仓位)
2008-02-04,74.32,342,74.32,74.32,75.258,75.83866666666667,76.2342857142857,76.2342857142857,1.2174081237130565,77.45169383799876,75.01687759057265,0.0,情绪过冷(低仓位)
2008-02-05,74.32,342,74.32,74.32,75.191,75.794,76.21347826086956,76.21347826086956,1.227040068291395,77.44051832916097,74.98643819257816,0.0,情绪过冷(低仓位)
2008-02-06,74.32,342,74.32,74.32,75.124,75.74933333333334,76.19311827956989,76.19311827956989,1.2360473278671196,77.42916560743701,74.95707095170276,0.0,情绪过冷(低仓位)
2008-02-07,74.32,342,74.32,74.32,75.05699999999999,75.70466666666667,76.1731914893617,76.1731914893617,1.24447182972559,77.41766331908728,74.92871965963612,0.0,情绪过冷(低仓位)
2008-02-08,74.32,342,74.32,74.32,74.99,75.66,76.15368421052631,76.15368421052631,1.2523518748199585,77.40603608534627,74.90133233570634,0.0,情绪过冷(低仓位)
2008-02-11,74.32,342,74.32,74.32,74.92299999999999,75.61533333333334,76.13458333333334,76.13458333333334,1.2597225397653982,77.39430587309873,74.87486079356795,0.0,情绪过冷(低仓位)
2008-02-12,74.32,342,74.32,74.32,74.856,75.57066666666667,76.11587628865979,76.11587628865979,1.266616023585187,77.38249231224498,74.8492602650746,0.0,情绪过冷(低仓位)
2008-02-13,74.32,342,74.32,74.32,74.789,75.526,76.09755102040816,76.09755102040816,1.2730619482861811,77.37061296869435,74.82448907212198,0.0,情绪过冷(低仓位)
2008-02-14,74.32,342,74.32,74.32,74.722,75.48133333333334,76.07959595959596,76.07959595959596,1.279087620614006,77.35868358020997,74.80050833898196,0.0,情绪过冷(低仓位)
2008-02-15,74.32,342,74.32,74.32,74.655,75.43666666666667,76.062,76.062,1.2847182609821544,77.34671826098216,74.77728173901784,0.0,情绪过冷(低仓位)
2008-02-18,74.32,342,74.32,74.32,74.588,75.392,76.04475247524752,76.04475247524752,1.2899772044958053,77.33472967974332,74.75477527075172,0.0,情绪过冷(低仓位)
2008-02-19,74.32,342,74.32,74.32,74.52099999999999,75.34733333333334,76.0278431372549,76.0278431372549,1.2948860781352451,77.32272921539015,74.73295705911966,0.0,情绪过冷(低仓位)
2008-02-20,74.32,342,74.32,74.32,74.454,75.30266666666667,76.01126213592232,76.01126213592232,1.2994649574763908,77.31072709339871,74.71179717844593,0.0,情绪过冷(低仓位)
2008-02-21,74.32,342,74.32,74.32,74.38699999999999,75.258,75.99499999999999,75.99499999999999,1.303732505770237,77.29873250577023,74.69126749422975,0.0,情绪过冷(低仓位)
2008-02-22,74.32,342,74.32,74.32,74.32,75.21333333333332,75.9790476190476,75.9790476190476,1.307706097751034,77.28675371679864,74.67134152129657,0.0,情绪过冷(低仓位)
2008-02-25,74.32,342,74.32,74.32,74.32,75.16866666666667,75.9633962264151,75.9633962264151,1.3114019301731308,77.27479815658823,74.65199429624197,0.0,情绪过冷(低仓位)
2008-02-26,74.32,342,74.32,74.32,74.32,75.124,75.94803738317756,75.94803738317756,1.3148351207720788,77.26287250394964,74.63320226240549,0.0,情绪过冷(低仓位)
2008-02-27,74.32,342,74.32,74.32,74.32,75.07933333333332,75.93296296296296,75.93296296296296,1.3180197970938534,77.25098276005681,74.61494316586911,0.0,情绪过冷(低仓位)
2008-02-28,74.32,342,74.32,74.32,74.32,75.03466666666667,75.91816513761468,75.91816513761468,1.320969176426783,77.23913431404146,74.5971959611879,0.0,情绪过冷(低仓位)
2008-02-29,74.32,342,74.32,74.32,74.32,74.99,75.90363636363637,75.90363636363637,1.3236956378959694,77.22733200153233,74.5799407257404,0.0,情绪过冷(低仓位)
2008-03-03,74.32,342,74.32,74.32,74.32,74.94533333333332,75.88936936936936,75.88936936936936,1.3262107876333422,77.2155801570027,74.56315858173602,0.0,情绪过冷(低仓位)
2008-03-04,74.32,342,74.32,74.32,74.32,74.90066666666667,75.87535714285714,75.87535714285714,1.3285255178129052,77.20388266067005,74.54683162504423,0.0,情绪过冷(低仓位)
2008-03-05,74.32,342,74.32,74.32,74.32,74.856,75.86159292035398,75.86159292035398,1.330650060236188,77.19224298059018,74.53094286011779,0.0,情绪过冷(低仓位)
2008-03-06,74.32,342,74.32,74.32,74.32,74.81133333333332,75.8480701754386,75.8480701754386,1.3325940350641157,77.18066421050271,74.51547614037447,0.0,情绪过冷(低仓位)
2008-03-07,74.32,342,74.32,74.32,74.32,74.76666666666667,75.83478260869565,75.83478260869565,1.334366495215814,77.16914910391147,74.50041611347983,0.0,情绪过冷(低仓位)
2008-03-10,74.32,342,74.32,74.32,74.32,74.722,75.82172413793103,75.82172413793103,1.335975966890102,77.15770010482113,74.48574817104092,0.0,情绪过冷(低仓位)
2008-03-11,74.32,342,74.32,74.32,74.32,74.67733333333332,75.80888888888889,75.80888888888889,1.33743048660983,77.14631937549872,74.47145840227905,0.0,情绪过冷(低仓位)
2008-03-12,74.32,342,74.32,74.32,74.32,74.63266666666667,75.79627118644068,75.79627118644068,1.3387376351413585,77.13500882158203,74.45753355129932,0.0,情绪过冷(低仓位)
2008-03-13,74.32,342,74.32,74.32,74.32,74.588,75.78386554621848,75.78386554621848,1.3399045686000988,77.12377011481858,74.44396097761837,0.0,情绪过冷(低仓位)
2008-03-14,74.32,342,74.32,74.32,74.32,74.54333333333332,75.77166666666668,75.77166666666668,1.3409380470172263,77.11260471368391,74.43072861964944,0.0,情绪过冷(低仓位)
2008-03-17,74.32,342,74.32,74.32,74.32,74.49866666666667,75.74933333333334,75.7596694214876,1.3418444606115223,77.10151388209913,74.41782496087608,0.0,情绪过冷(低仓位)
2008-03-18,74.32,342,74.32,74.32,74.32,74.454,75.727,75.74786885245902,1.342629853983195,77.09049870644222,74.40523899847582,0.0,情绪过冷(低仓位)
2008-03-19,74.32,342,74.32,74.32,74.32,74.40933333333332,75.70466666666667,75.73626016260162,1.343299948422823,77.07956011102445,74.3929602141788,0.0,情绪过冷(低仓位)
2008-03-20,74.32,342,74.32,74.32,74.32,74.36466666666665,75.68233333333333,75.72483870967741,1.3438601625078244,77.06869887218524,74.38097854716959,0.0,情绪过冷(低仓位)
2008-03-21,74.32,342,74.32,74.32,74.32,74.32,75.66,75.71359999999999,1.3443156311406304,77.05791563114062,74.36928436885935,0.0,情绪过冷(低仓位)
2008-03-24,74.32,342,74.32,74.32,74.32,74.32,75.63766666666668,75.70253968253968,1.3446712231667255,77.04721090570641,74.35786845937295,0.0,情绪过冷(低仓位)
2008-03-25,74.32,342,74.32,74.32,74.32,74.32,75.61533333333334,75.69165354330708,1.344931557696576,77.03658510100365,74.34672198561051,0.0,情绪过冷(低仓位)
2008-03-26,74.32,342,74.32,74.32,74.32,74.32,75.593,75.6809375,1.3451010192429798,77.02603851924297,74.33583648075702,0.0,情绪过冷(低仓位)
2008-03-27,74.32,342,74.32,74.32,74.32,74.32,75.57066666666667,75.67038759689922,1.3451837717743105,77.01557136867353,74.3252038251249,0.0,情绪过冷(低仓位)
2008-03-28,74.32,342,74.32,74.32,74.32,74.32,75.54833333333333,75.66,1.3451837717743105,77.00518377177431,74.31481622822568,0.0,中性
2008-03-31,68.7,342,73.196,74.039,74.17949999999999,74.22633333333333,75.47916666666667,75.60687022900764,1.4715241099305403,77.07839433893818,74.1353461190771,-1.1239999999999952,情绪过冷(低仓位)
2008-04-01,68.7,342,72.072,73.758,74.03899999999999,74.13266666666667,75.41,75.55454545454545,1.5843781083707644,77.13892356291622,73.97016734617468,-2.2479999999999905,情绪过冷(低仓位)
2008-04-02,68.7,342,70.94800000000001,73.477,73.8985,74.03899999999999,75.34083333333334,75.50300751879699,1.6865663455144075,77.1895738643114,73.81644117328258,-3.3719999999999857,情绪过冷(低仓位)
2008-04-03,68.7,342,69.824,73.196,73.758,73.94533333333332,75.27166666666668,75.45223880597015,1.780027727160511,77.23226653313067,73.67221107880964,-4.495999999999995,情绪过冷(低仓位)
2008-04-04,68.7,342,68.7,72.91499999999999,73.61749999999999,73.85166666666666,75.2025,75.40222222222222,1.8661664219538026,77.26838864417603,73.53605580026841,-5.61999999999999,情绪过冷(低仓位)
2008-04-07,68.7,342,68.7,72.63399999999999,73.477,73.75800000000001,75.13333333333334,75.3529411764706,1.9460402788443327,77.29898145531493,73.40690089762626,-5.61999999999999,情绪过冷(低仓位)
2008-04-08,68.7,342,68.7,72.353,73.33649999999999,73.66433333333333,75.06416666666665,75.30437956204379,2.020471283590665,77.32485084563446,73.28390827845313,-5.61999999999999,情绪过冷(低仓位)
2008-04-09,68.7,342,68.7,72.072,73.196,73.57066666666667,74.99499999999999,75.25652173913043,2.0901142539139985,77.34663599304443,73.16640748521644,-5.61999999999999,情绪过冷(低仓位)
2008-04-10,68.7,342,68.7,71.791,73.0555,73.477,74.92583333333333,75.20935251798561,2.1555016258144044,77.36485414380002,73.0538508921712,-5.61999999999999,情绪过冷(低仓位)
2008-04-11,68.7,342,68.7,71.50999999999999,72.91499999999999,73.38333333333331,74.85666666666665,75.16285714285713,2.2170738008550415,77.37993094371218,72.94578334200209,-5.61999999999999,情绪过冷(低仓位)
2008-04-14,68.7,342,68.7,71.229,72.77449999999999,73.28966666666666,74.7875,75.11702127659575,2.2752003819697952,77.39222165856555,72.84182089462595,-5.61999999999999,情绪过冷(低仓位)
2008-04-15,68.7,342,68.7,70.94800000000001,72.63399999999999,73.196,74.71833333333332,75.07183098591548,2.330195444187263,77.40202643010275,72.74163554172821,-5.61999999999999,情绪过冷(低仓位)
2008-04-16,68.7,342,68.7,70.667,72.4935,73.10233333333332,74.64916666666666,75.02727272727273,2.382328775993569,77.4096015032663,72.64494395127916,-5.61999999999999,情绪过冷(低仓位)
2008-04-17,68.7,342,68.7,70.386,72.353,73.00866666666666,74.58,74.98333333333333,2.431834324500372,77.4151676578337,72.55149900883296,-5.61999999999999,情绪过冷(低仓位)
2008-04-18,68.7,342,68.7,70.10499999999999,72.2125,72.91499999999999,74.51083333333332,74.94,2.4789166540603533,77.41891665406035,72.46108334593964,-5.61999999999999,情绪过冷(低仓位)
2008-04-21,68.7,342,68.7,69.824,72.07199999999999,72.82133333333333,74.44166666666666,74.8972602739726,2.5237559640886493,77.42101623806126,72.37350430988396,-5.61999999999999,情绪过冷(低仓位)
2008-04-22,68.7,342,68.7,69.54299999999999,71.9315,72.72766666666666,74.37249999999999,74.85510204081632,2.5665120426093506,77.42161408342567,72.28858999820697,-5.61999999999999,情绪过冷(低仓位)
2008-04-23,68.7,342,68.7,69.262,71.791,72.634,74.30333333333333,74.81351351351351,2.6073274206987715,77.42084093421228,72.20618609281475,-5.61999999999999,情绪过冷(低仓位)
2008-04-24,68.7,342,68.7,68.98100000000001,71.6505,72.54033333333332,74.23416666666667,74.7724832214765,2.6463299180543522,77.41881313953085,72.12615330342216,-5.61999999999999,情绪过冷(低仓位)
2008-04-25,68.7,342,68.7,68.7,71.51,72.44666666666666,74.16499999999999,74.732,2.68363471843942,77.41563471843942,72.04836528156058,-5.61999999999999,情绪过冷(低仓位)
2008-04-28,68.7,342,68.7,68.7,71.36949999999999,72.35300000000001,74.09583333333333,74.69205298013244,2.7193460777377583,77.4113990578702,71.97270690239469,-4.495999999999995,情绪过冷(低仓位)
2008-04-29,68.7,342,68.7,68.7,71.22900000000001,72.25933333333334,74.02666666666666,74.65263157894736,2.753558741730732,77.40619032067809,71.89907283721664,-3.372,情绪过冷(低仓位)
2008-04-30,68.7,342,68.7,68.7,71.0885,72.16566666666667,73.9575,74.61372549019607,2.7863591322050167,77.4000846224011,71.82736635799105,-2.2480000000000047,情绪过冷(低仓位)
2008-05-01,68.7,342,68.7,68.7,70.948,72.07199999999999,73.88833333333334,74.57532467532468,2.8178263464474806,77.39315102177216,71.7574983288772,-1.1239999999999952,情绪过冷(低仓位)
2008-05-02,68.7,342,68.7,68.7,70.8075,71.97833333333332,73.81916666666666,74.5374193548387,2.8480330051325353,77.38545235997124,71.68938634970617,0.0,情绪过冷(低仓位)
2008-05-05,68.7,342,68.7,68.7,70.667,71.88466666666666,73.75,74.5,2.8770459760641818,77.37704597606418,71.62295402393582,0.0,情绪过冷(低仓位)
2008-05-06,68.7,342,68.7,68.7,70.5265,71.791,73.68083333333333,74.46305732484076,2.9049269955124357,77.3679843203532,71.55813032932832,0.0,情绪过冷(低仓位)
2008-05-07,68.7,342,68.7,68.7,70.386,71.69733333333333,73.61166666666666,74.426582278481,2.931733204498512,77.35831548297952,71.4948490739825,0.0,情绪过冷(低仓位)
2008-05-08,68.7,342,68.7,68.7,70.24549999999999,71.60366666666665,73.5425,74.39056603773585,2.9575176139910173,77.34808365172687,71.43304842374484,0.0,情绪过冷(低仓位)
2008-05-09,68.7,342,68.7,68.7,70.105,71.50999999999999,73.47333333333333,74.35499999999999,2.9823295103284795,77.33732951032847,71.3726704896715,0.0,情绪过冷(低仓位)
2008-05-12,68.7,342,68.7,68.7,69.9645,71.41633333333334,73.40416666666667,74.31987577639751,3.006214810101244,77.32609058649875,71.31366096629627,0.0,情绪过冷(低仓位)
2008-05-13,68.7,342,68.7,68.7,69.824,71.32266666666666,73.335,74.28518518518518,3.0292163720750436,77.31440155726023,71.25596881311014,0.0,情绪过冷(低仓位)
2008-05-14,68.7,342,68.7,68.7,69.68350000000001,71.229,73.26583333333333,74.25092024539877,3.051374272420555,77.30229451781933,71.19954597297821,0.0,情绪过冷(低仓位)
2008-05-15,68.7,342,68.7,68.7,69.54299999999999,71.13533333333334,73.19666666666667,74.21707317073171,3.0727260484537724,77.28979921918548,71.14434712227794,0.0,情绪过冷(低仓位)
2008-05-16,68.7,342,68.7,68.7,69.4025,71.04166666666666,73.1275,74.18363636363635,3.0933069152349506,77.2769432788713,71.0903294484014,0.0,情绪过冷(低仓位)
2008-05-19,68.7,342,68.7,68.7,69.262,70.94800000000001,73.05833333333334,74.15060240963855,3.1131499586763067,77.26375236831485,71.03745245096225,0.0,情绪过冷(低仓位)
2008-05-20,68.7,342,68.7,68.7,69.1215,70.85433333333334,72.98916666666666,74.11796407185628,3.132286308237753,77.25025038009403,70.98567776361853,0.0,情绪过冷(低仓位)
2008-05-21,68.7,342,68.7,68.7,68.98100000000001,70.76066666666667,72.92,74.08571428571429,3.150745291820087,77.23645957753438,70.9349689938942,0.0,情绪过冷(低仓位)
2008-05-22,68.7,342,68.7,68.7,68.84049999999999,70.66699999999999,72.85083333333334,74.05384615384615,3.168554575076482,77.22240072892264,70.88529157876967,0.0,情绪过冷(低仓位)
2008-05-23,68.7,342,68.7,68.7,68.7,70.57333333333332,72.78166666666667,74.02235294117646,3.1857402870401406,77.20809322821661,70.83661265413632,0.0,情绪过冷(低仓位)
2008-05-26,68.7,342,68.7,68.7,68.7,70.47966666666667,72.7125,73.99122807017544,3.202327133696281,77.19355520387172,70.78890093647915,0.0,情绪过冷(低仓位)
2008-05-27,68.7,342,68.7,68.7,68.7,70.386,72.64333333333333,73.96046511627907,3.2183385009004812,77.17880361717955,70.74212661537858,0.0,情绪过冷(低仓位)
2008-05-28,68.7,342,68.7,68.7,68.7,70.29233333333333,72.57416666666667,73.9300578034682,3.2337965478549218,77.16385435132312,70.69626125561328,0.0,情绪过冷(低仓位)
2008-05-29,68.7,342,68.7,68.7,68.7,70.19866666666667,72.50500000000001,73.9,3.248722292193027,77.14872229219303,70.65127770780698,0.0,情绪过冷(低仓位)
2008-05-30,68.7,342,68.7,68.7,68.7,70.10499999999999,72.43583333333332,73.87028571428571,3.2631356875863053,77.13342140187201,70.60715002669941,0.0,情绪过冷(低仓位)
2008-06-02,68.7,342,68.7,68.7,68.7,70.01133333333334,72.36666666666666,73.8409090909091,3.277055694670756,77.11796478557984,70.56385339623834,0.0,情绪过冷(低仓位)
2008-06-03,68.7,342,68.7,68.7,68.7,69.91766666666668,72.29749999999999,73.81186440677965,3.2905003459906466,77.1023647527703,70.521364060789,0.0,情绪过冷(低仓位)
2008-06-04,68.7,342,68.7,68.7,68.7,69.824,72.22833333333332,73.78314606741573,3.303486805572102,77.08663287298783,70.47965926184362,0.0,情绪过冷(低仓位)
2008-06-05,68.7,342,68.7,68.7,68.7,69.73033333333333,72.15916666666666,73.75474860335196,3.316031423665464,77.07078002701742,70.43871717968649,0.0,情绪过冷(低仓位)
